name,bookid,
Joseph Conrad,0,
Herbert George Wells,1,
S. H. Hammond,2,
Ada Leverson,3,
Douglas Rushkoff,4,
Various,5,
Talbot Mundy,6,
P. G. Wodehouse,7,
Bob Evans,8,
Louis Hughes,9,
Boswell,10,
Charles Lamb,11,
Thomas Clarkson,12,
John Lord,13,
William Cullen Bryant,14,
Various,15,
Bruce Sterling,16,
Lucian,17,
James Richardson,18,
Jeffery Farnol,19,
Various,20,
Edited by George Newnes,21,
Stewart Edward White and Samuel Hopkins Adams,22,
Herbert George Wells,23,
The American Tract Society,24,
George Bernard Shaw,25,
Various,26,
Joseph A. Altsheler,27,
Virna Sheard,28,
Percy Keese Fitzhugh,29,
Howard R. Garis,30,
H. Clay Trumbull,31,
Guy Boothby,32,
Edith Van Dyne,33,
Jules Verne,34,
Burton E. Stevenson,35,
Algernon Blackwood,36,
John Benwell,37,
Mark Twain (Samuel Clemens),38,
James Richardson,39,
Nora Perry,40,
Charles Kingsley,41,
Charles Amory Beach,42,
Nellie L. McClung,43,
Howard Pyle,44,
Charles S. Brooks,45,
Edith Ferguson Black,46,
E. L. Lomax,47,
Thomas Carlyle,48,
William Shakespeare,49,
A. E. W. Mason,50,
Various,51,
Emile Zola,52,
Harold Avery,53,
William Shakespeare,54,
Various,55,
Enrico Ferri,56,
Fanny Trollope,57,
Mary Baker Eddy,58,
Samuel Johnson,59,
Edgar Rice Burroughs,60,
Thomas Herbert Russell,61,
William J. Long,62,
Arthur Cosslett Smith,63,
Frank Moore,64,
Thomas Hardy,65,
John R. Musick,66,
Johanna Spyri,67,
Talbot Mundy,68,
Arthur Conan Doyle,69,
Various,70,
William Hope Hodgson,71,
Mary F. Nixon-Roulet,72,
Baroness Orczy,73,
Edwin Arlington Robinson,74,
 Various,75,
Ulysses S. Grant,76,
Unknown,77,
Various,78,
Oliver Spafford,79,
F. J. Cross,80,
William F. Cody,81,
Helen Hunt Jackson,82,
Various,83,
Jack London,84,
Kate Douglas Wiggin,85,
P. G. Wodehouse,86,
Thomas Colley Grattan,87,
James Fenimore Cooper,89,
George Henry Lewes,90,
Stanley Waterloo,91,
Jane Austen,92,
Bram Stoker,93,
Arnold Joseph Toynbee,94,
Susan Glaspell,95,
Count Agenor de Gasparin,96,
Various,97,
Franklin Delano Roosevelt,98,
Thomas Troward,99,
John Galt,100,
Various,101,
Charles Duke Yonge,102,
Augusta Stevenson,103,
Grace Denio Litchfield,104,
Joseph McCabe,105,
Various,106,
Edgar Allan Poe,107,
Roger McGuinn,108,
J. Meade Falkner,109,
Fannie  Hurst,110,
William Le Queux,111,
Robert Louis Stevenson and Lloyd Osbourne,112,
Horatio Alger, Jr.,113,
E.R. Murray and Henrietta Brown Smith,114,
Anonymous,115,
Various,116,
Robert L. Drake,117,
Richard Garnett,118,
Roger McGuinn,119,
John Lord,120,
Arthur Conan Doyle,121,
Elihu Root,122,
Roger McGuinn,123,
Mrs. Isabella Beeton,124,
Robert Graves,125,
John Lord,126,
Edith Van Dyne,127,
Roger McGuinn,128,
Roger McGuinn,129,
Henry van Dyke,130,
John Lord,131,
Richard Le Gallienne,132,
John Lord,133,
Roger McGuinn,134,
Burton Egbert Stevenson,135,
Harriot Stanton Blatch,136,
(AKA Charlotte, Emily and Anne Bronte) Currer, Ellis, and Acton Bell,137,
Arthur Schopenhauer,138,
Ralph Chaplin,139,
Joseph Ladue,140,
Various,142,
Joseph Planta, Esq. F. R. S.,143,
Zane Grey,144,
Kate Douglas Wiggin,145,
James T. McCleary,146,
James Branch Cabell,147,
Frank Barrett,148,
John R. Watson,149,
John Lord,150,
Roger McGuinn,151,
Atticus,152,
Edward Stratemeyer,153,
Various,154,
David Garnett,155,
Roger McGuinn,156,
John P. Marquand,157,
John Lord,158,
Anonymous,159,
Various,160,
Roger McGuinn,161,
John Bagnell Bury,162,
Dan B. Brummitt,163,
Roger McGuinn,164,
Roger McGuinn,165,
Anonymous,166,
Roger McGuinn,167,
Various,168,
Various,169,
Robert Lansing,170,
John Lord,171,
Roger McGuinn,172,
Roger McGuinn,173,
Anna Katharine Green,174,
Charles A. Lee,175,
Jane H. Newell,176,
Arthur Schopenhauer,177,
Henry James,178,
Grace MacGowan Cooke,179,
Margaret O. (Wilson) Oliphant,180,
Jack London,181,
Henry Lawson,182,
Douglas W. Johnson,183,
George MacDonald,184,
Louise Forsslund,185,
E. Phillips Oppenheim,186,
Anonymous, given as "W. M.",187,
Kenneth McGaffey,188,
Arthur Train,189,
Charles Kingsley,190,
Edith Van Dyne,191,
Roger McGuinn,192,
Edith Van Dyne,193,
Various,194,
Caius Julius Caesar,195,
Louis Joseph Vance,196,
L. Leslie Brooke,197,
G. Lowes Dickinson,198,
Robert W. Chambers,199,
Ethel May Dell,200,
F. Marion Crawford,201,
John Pierpont,202,
James Otis,203,
Various,204,
Edmund Venables,205,
Charles Dickens,206,
Harriet Beecher Stowe,207,
H. Irving Hancock,208,
Margaret O. (Wilson) Oliphant,209,
Various,210,
Various,211,
John Fox, Jr.,212,
