bookid,title,
0,Within the Tides,
1,The New Machiavelli,
2,Wild Northern Scenes,
3,Tenterhooks,
4,Open Source Democracy,
5,Punchinello Vol 2 No 27 October 1 1870,
6,Affair in Araby,
7,Mike and Psmith,
8,The Forest Monster of Oz,
9,Thirty Years a Slave,
10,Life Of Johnson Volume 4 of 6,
11,The Works of Charles and Mary Lamb Volume 2,
12,The History of the Rise Progress and Accomplishment of the,
13,Beacon Lights of History Volume VIII,
14,A Discourse on the Life Character and Writings of Gulian Crommelin,
15,Atlantic Monthly Volume 2 Issue 10 August 1858,
16,Hacker Crackdown,
17,Trips to the Moon,
18,Travels in Morocco Vol 2,
19,The Money Moon,
20,Punchinello Vol 1 No 26 September 24 1870,
21,The Strand Magazine,
22,The Mystery,
23,God The Invisible King,
24,Step by Step,
25,Dark Lady of the Sonnets,
26,Punchinello Vol 2 No 28 October 8 1870,
27,The Scouts of the Valley,
28,The Miracle and Other Poems,
29,Roy Blakeley,
30,Daddy Takes Us Skating,
31,A Lie Never Justifiable,
32,My Strangest Case,
33,Aunt Janes Nieces Out West ,
34,Around the World in 80 Days,
35,Affairs of State,
36,Three John Silence Stories,
37,An Englishmans Travels in America,
38,The Tragedy of Puddnhead Wilson,
39,Travels in Morocco Vol 1,
40,A Flock of Girls and Boys,
41,Scientific Essays and Lectures,
42,Air Service Boys Over the Atlantic ,
43,Purple Springs,
44,The Story of the Champions of the Round Table,
45,Theres Pippins And Cheese To Come,
46,A Beautiful Possibility,
47,Oregon Washington and Alaska Sights and Scenes for the Tourist,
48,Sartor Resartus,
49,Venus and Adonis,
50,The Broken Road ,
51,Punchinello Vol 1 No 25 September 17 1870,
52,Nana The Millers Daughter Captain Burle Death of Olivier Becaille,
53,The Triple Alliance,
54,Shakespeares Sonnets,
55,Punch or the London Charivari Vol 153 Sept 12 1917,
56,The Positive School of Criminology,
57,Domestic Manners of the Americans,
58,Pulpit and Press 6th Edition,
59,The Works of Samuel Johnson Vol 10,
60,Jungle Tales of Tarzan,
61,Americas War for Humanity,
62,English Literature,
63,The Turquoise Cup and The Desert,
64,Reminiscences of Pioneer Days in St Paul,
65,Far from the Madding Crowd,
66,The Real America in Romance Volume 6 A Century Too Soon A Story,
67,Erick and Sally,
68,Caesar Dies,
69,Uncle Bernac,
70,Punch or the London Charivari Vol 153 Sept 19 1917,
71,The Boats of the Glen Carrig,
72,Our Little Alaskan Cousin,
73,The Old Man in the Corner,
74,The Three Taverns,
75,The Mirror of Literature Amusement and Instruction Vol 10,
76,Personal Memoirs of U S Grant Volume Two,
77,Little Sarah,
78,Punchinello Vol 1 No 24 September 10 1870,
79,The Picture Alphabet,
80,Beneath the Banner,
81,The Life of Hon William F Cody,
82,Between Whiles,
83,Punchinello Vol 1 No 5  April 30 1870,
84,Martin Eden,
